chrom,total,avg_effect,bad
contig1,27,0.20722222222222222,6
contig10,1988,0.3941415995975855,572
contig11,1531,0.41995029392553884,500
contig12,4443,0.4096199864956111,1370
contig13,1749,0.40379948542024013,538
contig2,2484,0.40523506441223833,742
contig3,1947,0.4203746276322548,648
contig4,2263,0.40489023420238623,705
contig5,3197,0.32633725367532057,1031
contig6,2242,0.4162372435325602,719
contig7,3882,0.44357449768160745,1355
contig8,1936,0.44415883264462813,675
contig9,2363,0.4011482014388489,735
