chromosome,start,end,mean_fst,comparison
1,2100001,2190000,0.25,LDR_A versus IMP_A
1,2365001,2600000,0.258,LDR_A versus IMP_A
1,12145001,12200000,0.235,LDR_A versus IMP_A
1,22350001,22430000,0.238,LDR_A versus IMP_A
1,25475001,25580000,0.234,LDR_A versus IMP_A
1,26020001,26340000,0.247,LDR_A versus IMP_A
1,26590001,26740000,0.242,LDR_A versus IMP_A
1,27230001,27410000,0.245,LDR_A versus IMP_A
1,28375001,28425000,0.232957,LDR_A versus IMP_A
1,29500001,29550000,0.239362,LDR_A versus IMP_A
2,2555001,2640000,0.25,LDR_A versus IMP_A
2,8740001,8790000,0.235534,LDR_A versus IMP_A
2,16170001,16220000,0.234421,LDR_A versus IMP_A
2,16600001,16700000,0.305,LDR_A versus IMP_A
2,16790001,16990000,0.255,LDR_A versus IMP_A
2,17125001,17360000,0.288,LDR_A versus IMP_A
2,17455001,17720000,0.284,LDR_A versus IMP_A
2,17775001,18970000,0.267,LDR_A versus IMP_A
2,20385001,20865000,0.255,LDR_A versus IMP_A
2,20980001,21380000,0.263,LDR_A versus IMP_A
2,22095001,22405000,0.249,LDR_A versus IMP_A
2,22665001,22935000,0.27,LDR_A versus IMP_A
2,23345001,23395000,0.232853,LDR_A versus IMP_A
2,23980001,24055000,0.235,LDR_A versus IMP_A
2,24235001,24550000,0.257,LDR_A versus IMP_A
2,24680001,24755000,0.236,LDR_A versus IMP_A
3,5750001,5845000,0.26,LDR_A versus IMP_A
3,6485001,6625000,0.264,LDR_A versus IMP_A
3,7110001,7160000,0.238751,LDR_A versus IMP_A
3,7490001,7590000,0.236,LDR_A versus IMP_A
3,7785001,7970000,0.243,LDR_A versus IMP_A
3,8235001,8295000,0.247,LDR_A versus IMP_A
3,8415001,8500000,0.242,LDR_A versus IMP_A
3,8745001,8890000,0.243,LDR_A versus IMP_A
3,9125001,9315000,0.24,LDR_A versus IMP_A
3,9570001,9655000,0.233,LDR_A versus IMP_A
3,9805001,10370000,0.241,LDR_A versus IMP_A
3,13650001,13735000,0.248,LDR_A versus IMP_A
3,14870001,14945000,0.242,LDR_A versus IMP_A
3,15545001,16215000,0.263,LDR_A versus IMP_A
3,17140001,17305000,0.256,LDR_A versus IMP_A
3,17785001,17980000,0.256,LDR_A versus IMP_A
3,18855001,19025000,0.258,LDR_A versus IMP_A
3,22745001,22965000,0.261,LDR_A versus IMP_A
3,23050001,23250000,0.24,LDR_A versus IMP_A
3,23570001,23645000,0.235,LDR_A versus IMP_A
3,24040001,24375000,0.27,LDR_A versus IMP_A
3,24540001,24745000,0.28,LDR_A versus IMP_A
3,25450001,25810000,0.256,LDR_A versus IMP_A
3,26265001,26375000,0.262,LDR_A versus IMP_A
3,26755001,26890000,0.244,LDR_A versus IMP_A
3,26990001,27085000,0.253,LDR_A versus IMP_A
3,27295001,27420000,0.235,LDR_A versus IMP_A
3,27620001,27710000,0.246,LDR_A versus IMP_A
3,28015001,28245000,0.278,LDR_A versus IMP_A
3,28465001,28545000,0.244,LDR_A versus IMP_A
4,2995001,3200000,0.237,LDR_A versus IMP_A
5,15001,260000,0.244,LDR_A versus IMP_A
5,680001,730000,0.235083,LDR_A versus IMP_A
5,1790001,1875000,0.24,LDR_A versus IMP_A
5,2150001,2235000,0.246,LDR_A versus IMP_A
5,3510001,3570000,0.239,LDR_A versus IMP_A
6,980001,1090000,0.253,LDR_A versus IMP_A
6,2050001,2120000,0.235,LDR_A versus IMP_A
6,7975001,8060000,0.264,LDR_A versus IMP_A
6,8345001,8425000,0.25,LDR_A versus IMP_A
6,8710001,8765000,0.235,LDR_A versus IMP_A
6,15300001,16490000,0.252,LDR_A versus IMP_A
6,22430001,22585000,0.242,LDR_A versus IMP_A
6,31355001,31405000,0.233545,LDR_A versus IMP_A
6,31625001,31710000,0.233,LDR_A versus IMP_A
6,32135001,32225000,0.247,LDR_A versus IMP_A
6,32825001,32875000,0.23837,LDR_A versus IMP_A
6,33765001,33835000,0.243,LDR_A versus IMP_A
7,10595001,10935000,0.24,LDR_A versus IMP_A
7,12145001,12200000,0.239,LDR_A versus IMP_A
7,14530001,15055000,0.252,LDR_A versus IMP_A
7,15110001,16360000,0.256,LDR_A versus IMP_A
7,17255001,17505000,0.24,LDR_A versus IMP_A
7,19830001,19980000,0.25,LDR_A versus IMP_A
7,25435001,25485000,0.243148,LDR_A versus IMP_A
7,25975001,26085000,0.257,LDR_A versus IMP_A
8,740001,795000,0.233,LDR_A versus IMP_A
8,1465001,1550000,0.252,LDR_A versus IMP_A
8,3910001,3995000,0.246,LDR_A versus IMP_A
8,8180001,8270000,0.246,LDR_A versus IMP_A
8,22455001,22630000,0.248,LDR_A versus IMP_A
8,26555001,26645000,0.254,LDR_A versus IMP_A
