chromosome,sweep_name,start,end,mean_xpclr,comparison
1,DA001,1755025,1804825,8.867402352,WT versus LDR_A
1,DA002,3780025,3829825,8.57252495599999,WT versus LDR_A
1,DA003,4770025,4819825,8.811059212,WT versus LDR_A
1,DA004,4950025,5089825,8.133,WT versus LDR_A
1,DA005,5220025,5269825,9.102802452,WT versus LDR_A
1,DA006,5625025,5764825,8.817,WT versus LDR_A
1,DA007,5850025,5899825,8.313995488,WT versus LDR_A
1,DA008,6840025,7159825,10.245,WT versus LDR_A
1,DA009,7560025,7609825,9.32862539199999,WT versus LDR_A
1,DA010,9855025,9904825,15.8463104,WT versus LDR_A
1,DA011,12015025,12064825,7.83624036,WT versus LDR_A
1,DA012,13185025,13459825,15.867,WT versus LDR_A
1,DA013,14130025,14269825,8.854,WT versus LDR_A
1,DA014,14490025,14584825,8.857,WT versus LDR_A
1,DA015,14985025,15034825,8.408190976,WT versus LDR_A
1,DA016,15480025,15619825,14.524,WT versus LDR_A
1,DA017,18270025,18319825,7.95141592,WT versus LDR_A
1,DA018,18630025,18814825,8.217,WT versus LDR_A
1,DA019,19260025,19624825,9.925,WT versus LDR_A
1,DA020,20340025,20434825,8.072,WT versus LDR_A
1,DA021,20745025,20794825,8.318456952,WT versus LDR_A
1,DA022,21285025,21334825,7.785559904,WT versus LDR_A
1,DA023,21510025,21604825,9.501,WT versus LDR_A
1,DA024,22230025,22279825,7.759043248,WT versus LDR_A
1,DA025,22545025,22684825,8.42,WT versus LDR_A
1,DA026,24750025,24799825,11.882643456,WT versus LDR_A
1,DA027,24975025,25024825,8.05865832,WT versus LDR_A
1,DA028,25065025,25249825,9.953,WT versus LDR_A
1,DA029,25380025,25429825,9.40124733200001,WT versus LDR_A
1,DA030,25605025,25654825,14.779035296,WT versus LDR_A
1,DA031,25740025,25789825,9.362528416,WT versus LDR_A
1,DA032,27990025,28039825,8.976707344,WT versus LDR_A
1,DA033,28125025,28174825,11.358822692,WT versus LDR_A
1,DA034,28890025,28939825,11.143890344,WT versus LDR_A
1,DA035,29430025,29479825,8.313988652,WT versus LDR_A
1,DA036,35280025,35382225,10.26,WT versus LDR_A
2,DA037,4230138,4279938,8.108902896,WT versus LDR_A
2,DA038,4410138,4504938,9.098,WT versus LDR_A
2,DA039,5040138,5089938,8.161256392,WT versus LDR_A
2,DA040,5670138,5719938,8.032612536,WT versus LDR_A
