chromosome,start,end,mean_fst,comparison
1,4685001,4995001,0.685,WT versus LDR_A 
1,5175001,5260001,0.547,WT versus LDR_A 
1,5825001,5840001,0.49,WT versus LDR_A 
1,9485001,9550001,0.525,WT versus LDR_A 
1,13310001,13345001,0.556,WT versus LDR_A 
1,14195001,14225001,0.529,WT versus LDR_A 
1,14295001,14335001,0.49,WT versus LDR_A 
1,14620001,14720001,0.538,WT versus LDR_A 
1,14780001,14785001,0.505,WT versus LDR_A 
1,18085001,18095001,0.506,WT versus LDR_A 
1,18155001,18180001,0.583,WT versus LDR_A 
1,20655001,20685001,0.53,WT versus LDR_A 
1,24465001,24470001,0.499,WT versus LDR_A 
1,27170001,27200001,0.537,WT versus LDR_A 
1,27660001,27705001,0.548,WT versus LDR_A 
1,31655001,31660001,0.494,WT versus LDR_A 
2,1180001,1205001,0.51,WT versus LDR_A 
2,1745001,1770001,0.547,WT versus LDR_A 
2,1830001,1915001,0.563,WT versus LDR_A 
2,4845001,4855001,0.482,WT versus LDR_A 
2,5020001,5060001,0.497,WT versus LDR_A 
2,6590001,6635001,0.514,WT versus LDR_A 
2,6715001,6730001,0.541,WT versus LDR_A 
2,7000001,7055001,0.543,WT versus LDR_A 
2,7135001,7170001,0.551,WT versus LDR_A 
2,7435001,7465001,0.527,WT versus LDR_A 
2,7580001,7590001,0.492,WT versus LDR_A 
2,7805001,7815001,0.504,WT versus LDR_A 
2,8315001,8370001,0.513,WT versus LDR_A 
2,10425001,10430001,0.49,WT versus LDR_A 
2,10710001,10715001,0.488,WT versus LDR_A 
2,10775001,11015001,0.673,WT versus LDR_A 
2,11195001,11360001,0.553,WT versus LDR_A 
2,11415001,11510001,0.551,WT versus LDR_A 
2,11585001,11655001,0.59,WT versus LDR_A 
2,12655001,12660001,0.491,WT versus LDR_A 
2,12765001,12825001,0.488,WT versus LDR_A 
2,13180001,13290001,0.571,WT versus LDR_A 
2,13495001,13530001,0.502,WT versus LDR_A 
2,21435001,21495001,0.602,WT versus LDR_A 
2,22770001,22815001,0.489,WT versus LDR_A 
2,23485001,23505001,0.566,WT versus LDR_A 
2,25710001,25830001,0.653,WT versus LDR_A 
3,440001,480001,0.529,WT versus LDR_A 
3,945001,995001,0.634,WT versus LDR_A 
3,1455001,1475001,0.52,WT versus LDR_A 
3,3820001,3825001,0.484,WT versus LDR_A 
3,4590001,4630001,0.511,WT versus LDR_A 
3,7845001,7850001,0.482,WT versus LDR_A 
3,8385001,8390001,0.483,WT versus LDR_A 
3,10360001,10450001,0.632,WT versus LDR_A 
3,10520001,10595001,0.559,WT versus LDR_A 
3,11570001,11650001,0.534,WT versus LDR_A 
3,19995001,20030001,0.517,WT versus LDR_A 
3,23325001,23385001,0.622,WT versus LDR_A 
3,25200001,25205001,0.482,WT versus LDR_A 
4,5490001,5510001,0.493,WT versus LDR_A 
4,5865001,5880001,0.487,WT versus LDR_A 
4,7010001,7075001,0.527,WT versus LDR_A 
4,7530001,7535001,0.482,WT versus LDR_A 
4,7915001,7970001,0.537,WT versus LDR_A 
4,8025001,8105001,0.492,WT versus LDR_A 
4,9000001,9060001,0.548,WT versus LDR_A 
4,12200001,12265001,0.591,WT versus LDR_A 
4,12340001,12515001,0.724,WT versus LDR_A 
4,12645001,12685001,0.536,WT versus LDR_A 
4,13600001,13645001,0.52,WT versus LDR_A 
4,14070001,14075001,0.495873,WT versus LDR_A 
4,14655001,14785001,0.649,WT versus LDR_A 
4,16275001,16300001,0.54,WT versus LDR_A 
4,21050001,21065001,0.5,WT versus LDR_A 
4,22080001,22095001,0.494,WT versus LDR_A 
4,23770001,23785001,0.535,WT versus LDR_A 
4,25415001,25445001,0.513,WT versus LDR_A 
4,26010001,26030001,0.518,WT versus LDR_A 
4,26845001,26865001,0.494,WT versus LDR_A 
4,32975001,33075001,0.568,WT versus LDR_A 
5,420001,440001,0.521,WT versus LDR_A 
5,1925001,1940001,0.545,WT versus LDR_A 
5,5595001,5640001,0.539,WT versus LDR_A 
5,6050001,6130001,0.582,WT versus LDR_A 
5,7025001,7205001,0.545,WT versus LDR_A 
5,7425001,7430001,0.552,WT versus LDR_A 
5,7640001,7705001,0.517,WT versus LDR_A 
5,7785001,7805001,0.527,WT versus LDR_A 
5,8055001,8070001,0.547,WT versus LDR_A 
5,8145001,8165001,0.518,WT versus LDR_A 
5,8440001,8640001,0.644,WT versus LDR_A 
5,8880001,8970001,0.512,WT versus LDR_A 
5,9065001,9115001,0.559,WT versus LDR_A 
5,9415001,9445001,0.498,WT versus LDR_A 
5,9500001,9675001,0.561,WT versus LDR_A 
5,9765001,9950001,0.552,WT versus LDR_A 
5,10155001,10160001,0.508,WT versus LDR_A 
5,10305001,10360001,0.579,WT versus LDR_A 
5,10475001,10505001,0.494,WT versus LDR_A 
5,10630001,10815001,0.576,WT versus LDR_A 
5,11225001,11255001,0.522,WT versus LDR_A 
5,11495001,11540001,0.563,WT versus LDR_A 
5,11905001,11965001,0.549,WT versus LDR_A 
5,12450001,12480001,0.505,WT versus LDR_A 
5,12560001,12670001,0.68,WT versus LDR_A 
5,18355001,18360001,0.485,WT versus LDR_A 
5,19520001,19560001,0.505,WT versus LDR_A 
5,21860001,21890001,0.535,WT versus LDR_A 
5,22575001,22600001,0.499,WT versus LDR_A 
6,3260001,3315001,0.511,WT versus LDR_A 
6,9360001,9500001,0.617,WT versus LDR_A 
6,10485001,10515001,0.523,WT versus LDR_A 
6,10585001,10590001,0.511,WT versus LDR_A 
6,10590001,10645001,0.602,WT versus LDR_A 
6,10730001,10735001,0.489,WT versus LDR_A 
6,10875001,11475001,0.622,WT versus LDR_A 
6,11635001,11895001,0.714,WT versus LDR_A 
6,11955001,11960001,0.486,WT versus LDR_A 
6,12095001,12445001,0.597,WT versus LDR_A 
6,12530001,12805001,0.651,WT versus LDR_A 
6,13065001,13250001,0.527,WT versus LDR_A 
6,14135001,14180001,0.502,WT versus LDR_A 
6,14840001,14860001,0.497,WT versus LDR_A 
6,18575001,18665001,0.527,WT versus LDR_A 
6,21675001,21750001,0.557,WT versus LDR_A 
6,22585001,22615001,0.487,WT versus LDR_A 
6,22960001,23015001,0.559,WT versus LDR_A 
6,23430001,23455001,0.529,WT versus LDR_A 
6,24825001,24860001,0.552,WT versus LDR_A 
6,24920001,25020001,0.554,WT versus LDR_A 
6,25195001,25345001,0.641,WT versus LDR_A 
6,25810001,25830001,0.486,WT versus LDR_A 
6,31170001,31215001,0.583,WT versus LDR_A 
6,34880001,34925001,0.546,WT versus LDR_A 
7,1255001,1265001,0.503,WT versus LDR_A 
7,1490001,1575001,0.589,WT versus LDR_A 
7,1710001,1750001,0.493,WT versus LDR_A 
7,4100001,4140001,0.517,WT versus LDR_A 
7,4840001,4870001,0.516,WT versus LDR_A 
7,5900001,5925001,0.499,WT versus LDR_A 
7,6370001,6390001,0.573,WT versus LDR_A 
7,6505001,6540001,0.513,WT versus LDR_A 
7,13290001,13310001,0.489,WT versus LDR_A 
7,14340001,14530001,0.569,WT versus LDR_A 
7,15890001,16015001,0.571,WT versus LDR_A 
7,19990001,20045001,0.514,WT versus LDR_A 
8,690001,710001,0.547,WT versus LDR_A 
8,2265001,2275001,0.491,WT versus LDR_A 
8,5420001,5430001,0.545,WT versus LDR_A 
8,7485001,7530001,0.596,WT versus LDR_A 
8,8385001,8440001,0.693,WT versus LDR_A 
8,12115001,12600001,0.595,WT versus LDR_A 
8,12665001,12965001,0.604,WT versus LDR_A 
8,13020001,13285001,0.575,WT versus LDR_A 
8,13365001,13410001,0.545,WT versus LDR_A 
8,13510001,14230001,0.5865652869565219,WT versus LDR_A 
8,14465001,14475001,0.545,WT versus LDR_A 
8,15765001,16490001,0.577,WT versus LDR_A 
8,16665001,16820001,0.554,WT versus LDR_A 
8,21870001,21940001,0.514,WT versus LDR_A 
8,23240001,23340001,0.596,WT versus LDR_A 
8,23460001,23505001,0.548,WT versus LDR_A 
8,23750001,23810001,0.618,WT versus LDR_A 
8,24100001,24215001,0.572,WT versus LDR_A 
8,24345001,24425001,0.589,WT versus LDR_A 
8,24720001,24740001,0.525,WT versus LDR_A 
8,24860001,24875001,0.64,WT versus LDR_A 
8,24940001,24945001,0.484,WT versus LDR_A 
8,25075001,25140001,0.583,WT versus LDR_A 
8,25620001,25625001,0.482,WT versus LDR_A 
8,26840001,26865001,0.486,WT versus LDR_A 
8,29990001,30010001,0.503,WT versus LDR_A 
8,31260001,31265001,0.491,WT versus LDR_A 
8,32085001,32095001,0.703,WT versus LDR_A 
9,4130001,4180001,0.567,WT versus LDR_A 
9,4820001,4870001,0.491,WT versus LDR_A 
9,5640001,5650001,0.491,WT versus LDR_A 
9,6865001,7015001,0.569,WT versus LDR_A 
9,7745001,7750001,0.493,WT versus LDR_A 
9,8085001,8095001,0.498,WT versus LDR_A 
9,8635001,8715001,0.548,WT versus LDR_A 
9,9180001,9290001,0.554,WT versus LDR_A 
9,9955001,10340001,0.584,WT versus LDR_A 
9,10395001,10685001,0.552,WT versus LDR_A 
9,10870001,10875001,0.483,WT versus LDR_A 
9,11215001,11220001,0.487,WT versus LDR_A 
9,11430001,11485001,0.506,WT versus LDR_A 
9,11590001,11675001,0.53,WT versus LDR_A 
9,11740001,11785001,0.502,WT versus LDR_A 
9,11995001,12015001,0.525,WT versus LDR_A 
9,12215001,12265001,0.507,WT versus LDR_A 
9,12605001,12635001,0.494,WT versus LDR_A 
9,12800001,12890001,0.548,WT versus LDR_A 
9,13525001,13565001,0.548,WT versus LDR_A 
9,13810001,13845001,0.535,WT versus LDR_A 
9,14795001,14835001,0.579,WT versus LDR_A 
9,16070001,16110001,0.533,WT versus LDR_A 
9,17155001,17195001,0.536,WT versus LDR_A 
9,17825001,17845001,0.509,WT versus LDR_A 
9,20555001,20600001,0.56,WT versus LDR_A 
9,21800001,21860001,0.726,WT versus LDR_A 
10,4870001,4875001,0.508,WT versus LDR_A 
10,4975001,5035001,0.542,WT versus LDR_A 
10,5885001,5925001,0.495,WT versus LDR_A 
10,7670001,7695001,0.53,WT versus LDR_A 
10,13295001,13335001,0.551,WT versus LDR_A 
10,15530001,15630001,0.525,WT versus LDR_A 
10,17085001,17105001,0.499,WT versus LDR_A 
10,17585001,17635001,0.584,WT versus LDR_A 
10,17985001,18170001,0.628,WT versus LDR_A 
10,19425001,19475001,0.508,WT versus LDR_A 
10,21310001,21330001,0.507,WT versus LDR_A 
10,22210001,22260001,0.528,WT versus LDR_A 
10,22425001,22435001,0.495,WT versus LDR_A 
10,22550001,22555001,0.482,WT versus LDR_A 
10,22810001,22975001,0.579,WT versus LDR_A 
11,7130001,7155001,0.627,WT versus LDR_A 
11,7320001,7370001,0.519,WT versus LDR_A 
11,7635001,7650001,0.49,WT versus LDR_A 
11,7760001,8520001,0.714,WT versus LDR_A 
11,8765001,9000001,0.595,WT versus LDR_A 
11,13155001,13355001,0.55,WT versus LDR_A 
11,14255001,14300001,0.493,WT versus LDR_A 
11,18705001,18770001,0.516,WT versus LDR_A 
11,21660001,21705001,0.513,WT versus LDR_A 
11,21875001,21925001,0.547,WT versus LDR_A 
11,23115001,23135001,0.543,WT versus LDR_A 
11,23220001,24115001,0.601,WT versus LDR_A 
11,24430001,24465001,0.536,WT versus LDR_A 
11,26010001,26125001,0.561,WT versus LDR_A 
11,26275001,26350001,0.585,WT versus LDR_A 
11,27670001,27700001,0.535,WT versus LDR_A 
11,27970001,28035001,0.656,WT versus LDR_A 
12,5675001,5815001,0.702,WT versus LDR_A 
12,5885001,5965001,0.637,WT versus LDR_A 
12,9325001,9345001,0.628,WT versus LDR_A 
12,17200001,17490001,0.67,WT versus LDR_A 
1,2540001,2565001,0.423,WT versus LDR_M
1,3130001,3170001,0.417,WT versus LDR_M
1,3245001,3255001,0.425,WT versus LDR_M
1,4770001,4775001,0.422,WT versus LDR_M
1,5410001,5450001,0.484,WT versus LDR_M
1,5715001,5825001,0.451,WT versus LDR_M
1,5880001,5905001,0.429,WT versus LDR_M
1,16135001,16220001,0.512,WT versus LDR_M
1,17980001,18000001,0.424,WT versus LDR_M
1,18160001,18165001,0.445,WT versus LDR_M
1,19225001,19275001,0.456,WT versus LDR_M
1,19390001,19570001,0.444,WT versus LDR_M
1,20045001,20050001,0.419,WT versus LDR_M
1,20110001,20430001,0.475,WT versus LDR_M
1,20735001,20740001,0.42,WT versus LDR_M
1,22020001,22280001,0.45,WT versus LDR_M
1,22350001,22475001,0.422,WT versus LDR_M
1,22765001,22810001,0.423,WT versus LDR_M
1,22950001,23060001,0.488,WT versus LDR_M
1,23135001,23360001,0.435,WT versus LDR_M
1,23430001,23910001,0.443,WT versus LDR_M
1,24070001,24085001,0.417,WT versus LDR_M
1,24725001,24795001,0.466,WT versus LDR_M
1,24890001,25210001,0.435,WT versus LDR_M
1,25345001,25390001,0.457,WT versus LDR_M
1,25450001,25525001,0.489,WT versus LDR_M
1,25905001,25915001,0.419,WT versus LDR_M
1,25985001,25990001,0.414,WT versus LDR_M
1,26065001,26080001,0.415,WT versus LDR_M
1,26195001,26225001,0.438,WT versus LDR_M
1,26685001,26715001,0.421,WT versus LDR_M
1,27570001,27575001,0.416,WT versus LDR_M
1,30405001,30430001,0.424,WT versus LDR_M
1,30515001,30570001,0.504,WT versus LDR_M
1,32560001,32610001,0.453,WT versus LDR_M
1,34770001,34810001,0.477,WT versus LDR_M
2,235001,350001,0.457,WT versus LDR_M
2,5320001,5355001,0.432,WT versus LDR_M
2,10910001,11005001,0.611,WT versus LDR_M
2,11450001,11470001,0.418,WT versus LDR_M
2,11630001,11635001,0.418,WT versus LDR_M
2,12000001,12025001,0.429,WT versus LDR_M
2,12250001,12385001,0.435,WT versus LDR_M
2,15635001,15700001,0.453,WT versus LDR_M
2,15865001,15890001,0.457,WT versus LDR_M
2,16100001,16155001,0.444,WT versus LDR_M
2,18440001,18470001,0.445,WT versus LDR_M
2,18580001,18630001,0.442,WT versus LDR_M
2,18695001,18910001,0.486,WT versus LDR_M
2,22120001,22150001,0.443,WT versus LDR_M
2,22370001,22400001,0.452,WT versus LDR_M
2,22420001,22450001,0.43,WT versus LDR_M
2,23755001,23765001,0.433,WT versus LDR_M
2,25755001,25765001,0.432,WT versus LDR_M
3,670001,695001,0.447,WT versus LDR_M
3,960001,965001,0.417,WT versus LDR_M
3,1085001,1095001,0.423,WT versus LDR_M
3,1205001,1255001,0.497,WT versus LDR_M
3,6590001,6640001,0.434,WT versus LDR_M
3,6845001,6850001,0.417,WT versus LDR_M
3,6930001,6945001,0.425,WT versus LDR_M
3,7015001,7115001,0.436,WT versus LDR_M
3,7805001,7840001,0.444,WT versus LDR_M
3,8110001,8165001,0.473,WT versus LDR_M
3,8230001,8265001,0.488,WT versus LDR_M
3,9110001,9145001,0.43,WT versus LDR_M
3,9810001,9885001,0.45,WT versus LDR_M
3,10295001,10445001,0.443,WT versus LDR_M
3,11600001,11605001,0.416,WT versus LDR_M
3,12440001,12455001,0.417,WT versus LDR_M
3,12910001,13145001,0.435,WT versus LDR_M
3,15620001,15725001,0.474,WT versus LDR_M
3,15795001,16190001,0.582,WT versus LDR_M
